match_id,date,home_team,away_team,home_score,away_score,group_letter,stadium_name,city
1,2026-06-11,Mexico,South Africa,2,0,A,Estadio Azteca (Mexico City Stadium),Mexico City
2,2026-06-11,South Korea,Czech Republic,2,1,A,Estadio Akron (Estadio Guadalajara),Zapopan
7,2026-06-12,Canada,Bosnia and Herzegovina,1,1,B,BMO Field (Toronto Stadium),Toronto
19,2026-06-12,United States,Paraguay,4,1,D,SoFi Stadium (Los Angeles Stadium),Inglewood
8,2026-06-13,Qatar,Switzerland,1,1,B,Levi's Stadium (San Francisco Bay Area Stadium),Santa Clara
13,2026-06-13,Brazil,Morocco,1,1,C,MetLife Stadium (New York New Jersey Stadium),East Rutherford
14,2026-06-13,Haiti,Scotland,0,1,C,Gillette Stadium (Boston Stadium),Foxborough
20,2026-06-13,Australia,Turkey,2,0,D,BC Place (BC Place Vancouver),Vancouver
25,2026-06-14,Germany,Curaçao,7,1,E,NRG Stadium (Houston Stadium),Houston
26,2026-06-14,Ivory Coast,Ecuador,1,0,E,Lincoln Financial Field (Philadelphia Stadium),Philadelphia
31,2026-06-14,Netherlands,Japan,2,2,F,AT&T Stadium (Dallas Stadium),Arlington
32,2026-06-14,Sweden,Tunisia,5,1,F,Estadio BBVA (Estadio Monterrey),Guadalupe
37,2026-06-15,Belgium,Egypt,1,1,G,Lumen Field (Seattle Stadium),Seattle
38,2026-06-15,Iran,New Zealand,2,2,G,SoFi Stadium (Los Angeles Stadium),Inglewood
43,2026-06-15,Spain,Cape Verde,0,0,H,Mercedes-Benz Stadium (Atlanta Stadium),Atlanta
44,2026-06-15,Saudi Arabia,Uruguay,1,1,H,Hard Rock Stadium (Miami Stadium),Miami Gardens
49,2026-06-16,France,Senegal,3,1,I,MetLife Stadium (New York New Jersey Stadium),East Rutherford
50,2026-06-16,Iraq,Norway,1,4,I,Gillette Stadium (Boston Stadium),Foxborough
55,2026-06-16,Argentina,Algeria,3,0,J,Arrowhead Stadium (Kansas City Stadium),Kansas City
56,2026-06-16,Austria,Jordan,3,1,J,Levi's Stadium (San Francisco Bay Area Stadium),Santa Clara
61,2026-06-17,Portugal,DR Congo,1,1,K,NRG Stadium (Houston Stadium),Houston
62,2026-06-17,Uzbekistan,Colombia,1,3,K,Estadio Azteca (Mexico City Stadium),Mexico City
67,2026-06-17,England,Croatia,4,2,L,AT&T Stadium (Dallas Stadium),Arlington
68,2026-06-17,Ghana,Panama,1,0,L,BMO Field (Toronto Stadium),Toronto
3,2026-06-18,Czech Republic,South Africa,1,1,A,Mercedes-Benz Stadium (Atlanta Stadium),Atlanta
4,2026-06-18,Mexico,South Korea,1,0,A,Estadio Akron (Estadio Guadalajara),Zapopan
9,2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,B,SoFi Stadium (Los Angeles Stadium),Inglewood
